,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,Age bracket,,,,,,,
,,,,Southern, Central, Eastern, Northern, Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA
,,,12%,14%,11%,14%,9%,12%,21%,12%,13%,8%,19%,14%,17%,10%,12%,10%,7%,11%,6%,13%,11%,3%,8%,6%,11%,8%,17%,11%,17%,11%,9%,5%,16%,22%,6%,6%,19%,15%,10%,12%,9%,19%,0%,41%,13%,13%,4%,21%,13%,13%,7%,24%,5%,11%,23%,4%,6%,14%,17%,17%,4%,9%,11%,17%,14%,10%,25%,19%,21%,0%,5%,8%,18%,11%,11%,15%,8%,6%,3%,15%,6%,15%,13%,7%,7%,11%,4%,11%,22%,18%,7%,9%,0%,12%,20%,10%,26%,0%,19%,4%,4%,9%,15%,11%,12%,12%,14%,17%,11%,12%,12%,10%,8%,7%,0%
,Faulty traffic Lights,,21,7,4,4,4,2,5,4,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,12,9,19,2,0,0,0,0,4,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,3,6,3,3,3,9,3,5,0,1,0,0
,,,2%,2%,1%,2%,2%,1%,5%,2%,1%,2%,4%,0%,0%,0%,3%,1%,7%,5%,0%,0%,0%,3%,0%,0%,0%,4%,2%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,2%,1%,2%,1%,0%,0%,0%,0%,17%,4%,0%,0%,3%,4%,0%,0%,0%,5%,4%,0%,0%,0%,0%,0%,9%,0%,0%,0%,0%,0%,4%,7%,0%,0%,4%,4%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,7%,7%,0%,0%,5%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,2%,1%,3%,1%,1%,1%,2%,1%,2%,0%,3%,0%,0%
,Poor/Bad signage,,209,44,65,26,34,40,10,39,25,11,2,1,0,1,5,10,5,2,0,3,1,4,5,4,0,5,8,4,3,3,18,9,7,4,5,10,5,104,105,194,15,3,5,4,3,2,10,1,2,4,3,2,4,8,6,5,11,6,3,7,6,4,3,2,1,1,0,2,3,0,2,5,3,4,0,5,5,4,4,2,0,1,3,2,5,1,5,2,0,4,2,7,5,5,3,4,0,2,5,3,5,44,27,41,46,25,26,26,73,39,37,22,8,4,0
,,,15%,14%,21%,11%,14%,16%,10%,15%,31%,22%,8%,5%,0%,5%,15%,13%,33%,11%,0%,13%,5%,14%,19%,24%,0%,21%,15%,22%,13%,11%,20%,23%,14%,10%,10%,29%,19%,16%,14%,16%,11%,12%,22%,14%,9%,8%,37%,5%,9%,13%,11%,7%,19%,30%,27%,19%,35%,27%,13%,20%,22%,18%,11%,7%,5%,5%,0%,8%,21%,0%,10%,21%,11%,22%,0%,19%,19%,24%,14%,15%,0%,4%,13%,13%,33%,5%,20%,11%,0%,18%,7%,30%,28%,29%,30%,19%,0%,12%,19%,13%,19%,20%,11%,18%,21%,11%,11%,10%,18%,14%,17%,15%,21%,27%,0%
,Poor traffic management,,34,10,10,6,6,2,8,4,2,1,0,0,1,1,2,2,0,0,0,1,0,0,1,2,0,0,2,0,1,3,1,0,0,0,0,1,1,22,12,31,3,0,0,3,0,4,0,0,0,2,1,0,1,1,1,1,0,0,1,0,1,0,3,1,0,1,1,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,9,4,4,6,5,9,14,4,3,3,1,0,0
,,,2%,3%,3%,2%,2%,1%,8%,2%,3%,2%,0%,0%,3%,5%,6%,3%,0%,0%,0%,4%,0%,0%,4%,12%,0%,0%,4%,0%,4%,11%,1%,0%,0%,0%,0%,3%,4%,3%,2%,3%,2%,0%,0%,10%,0%,17%,0%,0%,0%,6%,4%,0%,5%,4%,5%,4%,0%,0%,4%,0%,4%,0%,11%,3%,0%,5%,5%,0%,0%,0%,10%,0%,0%,0%,0%,8%,4%,12%,0%,0%,0%,0%,4%,7%,0%,0%,4%,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,4%,0%,0%,3%,4%,2%,2%,3%,2%,3%,4%,1%,1%,2%,3%,0%,0%
,No tarmacking on roads/dusty roads,,160,40,38,15,32,35,1,36,9,11,0,5,0,1,0,20,0,2,0,4,0,4,2,0,1,3,3,2,3,4,14,8,9,4,12,1,1,33,127,135,25,0,2,1,6,0,2,0,3,7,0,12,1,7,0,9,2,2,3,3,4,2,4,1,5,1,0,0,0,0,0,3,1,2,1,2,2,0,4,3,0,9,4,1,0,0,7,2,2,4,7,1,0,1,0,7,0,7,1,5,7,22,28,22,19,41,28,34,41,38,20,21,5,1,0
,,,12%,13%,12%,6%,13%,14%,1%,14%,11%,22%,0%,24%,0%,5%,0%,25%,0%,11%,0%,17%,0%,14%,8%,0%,6%,13%,6%,11%,13%,14%,16%,20%,18%,10%,23%,3%,4%,5%,17%,11%,19%,0%,9%,3%,19%,0%,7%,0%,13%,22%,0%,41%,5%,26%,0%,33%,6%,9%,13%,9%,15%,9%,14%,3%,24%,5%,0%,0%,0%,0%,0%,13%,4%,11%,6%,8%,8%,0%,14%,23%,0%,33%,17%,7%,0%,0%,28%,11%,11%,18%,25%,4%,0%,6%,0%,33%,0%,41%,4%,21%,26%,10%,12%,10%,9%,18%,11%,13%,10%,13%,9%,15%,13%,7%,0%
,No pedestrian and Boda boda paths,,65,19,22,6,13,5,5,16,2,4,1,0,2,1,0,1,0,2,1,3,3,1,2,0,1,0,0,1,0,5,9,0,2,1,0,1,1,44,21,61,4,0,3,1,2,1,4,1,0,4,2,0,1,0,2,3,0,1,0,7,1,1,5,1,0,1,1,1,0,1,0,0,0,1,1,0,2,0,1,0,1,0,3,1,0,3,0,2,0,0,0,0,0,1,1,1,1,0,1,0,1,4,14,9,3,10,25,23,14,16,8,3,0,1,0
,,,5%,6%,7%,2%,5%,2%,5%,6%,3%,8%,4%,0%,7%,5%,0%,1%,0%,11%,6%,13%,16%,3%,8%,0%,6%,0%,0%,6%,0%,18%,10%,0%,4%,2%,0%,3%,4%,7%,3%,5%,3%,0%,13%,3%,6%,4%,15%,5%,0%,13%,7%,0%,5%,0%,9%,11%,0%,5%,0%,20%,4%,5%,18%,3%,0%,5%,5%,4%,0%,10%,0%,0%,0%,6%,6%,0%,8%,0%,3%,0%,6%,0%,13%,7%,0%,16%,0%,11%,0%,0%,0%,0%,0%,6%,10%,5%,5%,0%,4%,0%,4%,2%,6%,4%,1%,4%,10%,9%,4%,6%,4%,2%,0%,7%,0%
,Big trucks/many boda bodas on the roads,,20,10,1,2,5,2,8,2,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,10,10,16,4,0,0,3,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,3,4,4,3,4,5,3,4,6,1,1,0,0
,,,1%,3%,%,1%,2%,1%,8%,1%,0%,0%,0%,0%,0%,0%,3%,0%,7%,5%,6%,4%,0%,0%,0%,6%,6%,0%,0%,0%,0%,0%,1%,0%,2%,0%,0%,0%,4%,2%,1%,1%,3%,0%,0%,10%,0%,4%,0%,5%,0%,6%,11%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,6%,0%,0%,6%,0%,0%,6%,0%,4%,0%,7%,0%,0%,5%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,1%,1%,2%,2%,1%,2%,2%,1%,1%,3%,1%,3%,0%,0%
,Sharp corners,,34,4,6,5,3,16,2,6,2,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,3,5,3,0,2,18,16,34,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,3,3,0,0,2,0,3,0,2,0,0,5,5,10,7,3,4,5,11,6,8,3,1,0,0
,,,2%,1%,2%,2%,1%,7%,2%,2%,3%,0%,0%,0%,3%,0%,6%,3%,0%,5%,0%,0%,0%,0%,0%,0%,6%,0%,2%,0%,0%,0%,0%,8%,6%,12%,6%,0%,8%,3%,2%,3%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,7%,0%,5%,4%,0%,0%,3%,0%,0%,0%,0%,5%,0%,7%,0%,0%,0%,0%,7%,10%,5%,0%,4%,0%,6%,0%,0%,0%,0%,0%,0%,4%,0%,7%,0%,0%,0%,5%,6%,9%,11%,13%,0%,0%,20%,0%,16%,0%,8%,0%,0%,2%,2%,4%,3%,1%,2%,2%,3%,2%,4%,2%,3%,0%,0%
,No maintenance work done,,38,10,5,10,10,3,2,6,2,3,4,0,0,1,1,2,0,2,0,0,3,2,1,0,0,1,2,1,0,0,2,0,1,0,1,0,1,18,20,34,4,2,0,1,2,0,1,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,1,1,0,1,1,0,2,0,0,0,0,1,0,3,1,2,1,0,1,0,0,0,0,0,0,0,1,0,2,2,6,7,7,9,7,7,10,10,5,5,0,1,0
,,,3%,3%,2%,4%,4%,1%,2%,2%,3%,6%,15%,0%,0%,5%,3%,3%,0%,11%,0%,0%,16%,7%,4%,0%,0%,4%,4%,6%,0%,0%,2%,0%,2%,0%,2%,0%,4%,3%,3%,3%,3%,8%,0%,3%,6%,0%,4%,0%,0%,3%,4%,0%,0%,0%,0%,11%,6%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,15%,7%,0%,0%,4%,4%,6%,0%,4%,4%,0%,7%,0%,0%,0%,0%,7%,0%,16%,4%,11%,6%,0%,4%,0%,0%,0%,0%,0%,0%,0%,4%,0%,7%,1%,3%,3%,3%,4%,3%,3%,3%,3%,2%,4%,0%,7%,0%
,No road reserves,,4,2,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,3,0,0,0,0
,,,%,1%,0%,%,%,0%,1%,%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,%,0%,4%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,%,%,0%,0%,%,0%,0%,1%,0%,0%,0%,0%
,Many humps,,62,16,12,21,8,5,5,18,2,0,1,0,3,1,4,1,0,0,1,2,2,1,0,1,1,2,6,3,1,1,1,2,0,1,0,1,1,35,27,56,6,0,2,1,2,0,2,0,0,2,4,3,0,1,0,0,1,0,1,1,0,2,1,5,0,1,2,1,3,1,1,2,3,3,1,3,0,1,1,0,1,1,2,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,16,7,11,7,11,10,12,24,11,7,3,3,2,0
,,,5%,5%,4%,9%,3%,2%,5%,7%,3%,0%,4%,0%,10%,5%,12%,1%,0%,0%,6%,8%,11%,3%,0%,6%,6%,8%,11%,17%,4%,4%,1%,5%,0%,2%,0%,3%,4%,5%,4%,5%,4%,0%,9%,3%,6%,0%,7%,0%,0%,6%,14%,10%,0%,4%,0%,0%,3%,0%,4%,3%,0%,9%,4%,17%,0%,5%,10%,4%,21%,10%,5%,8%,11%,17%,6%,12%,0%,6%,3%,0%,6%,4%,8%,0%,0%,11%,0%,0%,0%,5%,0%,4%,0%,6%,0%,0%,0%,6%,4%,0%,0%,7%,3%,5%,3%,5%,4%,5%,6%,4%,3%,2%,8%,13%,0%
,Slippery roads,,93,17,21,21,14,20,9,17,4,1,2,5,2,6,2,0,2,1,1,1,0,6,2,1,1,1,2,0,1,2,4,4,4,1,9,1,1,41,52,88,5,0,0,5,1,3,2,1,1,1,0,2,2,1,1,0,2,1,1,2,1,6,2,2,5,6,1,2,0,1,2,1,1,0,1,1,2,1,6,0,1,0,1,0,2,0,0,1,0,0,3,1,1,0,3,1,1,3,1,6,1,25,20,18,13,11,6,12,27,24,18,10,1,1,0
,,,7%,5%,7%,9%,6%,8%,9%,6%,5%,2%,8%,24%,7%,29%,6%,0%,13%,5%,6%,4%,0%,21%,8%,6%,6%,4%,4%,0%,4%,7%,4%,10%,8%,2%,17%,3%,4%,6%,7%,7%,4%,0%,0%,17%,3%,13%,7%,5%,4%,3%,0%,7%,10%,4%,5%,0%,6%,5%,4%,6%,4%,27%,7%,7%,24%,29%,5%,8%,0%,10%,10%,4%,4%,0%,6%,4%,8%,6%,21%,0%,6%,0%,4%,0%,13%,0%,0%,5%,0%,0%,11%,4%,6%,0%,30%,5%,5%,18%,4%,25%,4%,11%,8%,8%,6%,5%,2%,5%,7%,8%,8%,7%,3%,7%,0%
,rough roads,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,Poor drainage,,60,6,18,19,12,5,0,9,4,7,1,1,2,4,1,3,0,0,2,0,1,1,5,0,1,4,5,0,1,2,1,3,0,0,1,1,0,17,43,52,8,1,2,0,3,0,0,0,0,0,0,0,1,1,2,4,1,3,1,0,1,1,2,1,1,4,2,1,0,0,1,4,3,0,1,2,5,0,1,0,2,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,3,0,0,0,9,12,10,4,12,13,12,14,13,8,9,1,3,0
,,,4%,2%,6%,8%,5%,2%,0%,3%,5%,14%,4%,5%,7%,19%,3%,4%,0%,0%,13%,0%,5%,3%,19%,0%,6%,17%,9%,0%,4%,7%,1%,8%,0%,0%,2%,3%,0%,3%,6%,4%,6%,4%,9%,0%,9%,0%,0%,0%,0%,0%,0%,0%,5%,4%,9%,15%,3%,14%,4%,0%,4%,5%,7%,3%,5%,19%,10%,4%,0%,0%,5%,17%,11%,0%,6%,8%,19%,0%,3%,0%,13%,0%,0%,0%,0%,5%,12%,0%,0%,0%,4%,0%,6%,0%,0%,0%,0%,18%,0%,0%,0%,4%,5%,4%,2%,5%,5%,5%,4%,5%,4%,6%,3%,20%,0%
,Poor design of pavements,,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
,,,%,%,0%,0%,%,0%,0%,%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,0%,%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%
,poor road surface,,30,6,3,1,20,0,3,3,0,1,0,1,0,0,0,12,1,1,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,23,26,4,1,0,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,7,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,3,8,5,6,8,8,4,3,1,0,0
,,,2%,2%,1%,%,8%,0%,3%,1%,0%,2%,0%,5%,0%,0%,0%,15%,7%,5%,13%,0%,0%,7%,8%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,0%,0%,0%,1%,3%,2%,3%,4%,0%,7%,0%,0%,0%,0%,0%,0%,4%,7%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,7%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,8%,0%,7%,0%,13%,26%,0%,7%,7%,0%,16%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,2%,1%,4%,2%,2%,2%,3%,2%,2%,3%,0%,0%
,No road markings,,4,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,1,1,0,0,0
,,,%,%,0%,%,1%,0%,0%,%,0%,0%,0%,0%,0%,5%,0%,0%,0%,5%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,%,0%,%,%,%,1%,0%,0%,0%
,Unclean roads,,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0
,,,%,1%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,%,%,%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,%,%,0%,0%,0%,0%,0%,%,0%,%,0%,0%,0%,0%
,Poor parking space,,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0
,,,%,%,%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,0%,%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%
,Over loaded vehicles,,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
,,,%,%,%,0%,0%,0%,0%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,%,0%,%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,%,0%,%,0%,0%,0%,0%,0%
,High transport fares,,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
,,,%,0%,%,%,0%,0%,0%,0%,1%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,0%,%,0%,0%,0%,0%,0%,%,0%,1%,0%,0%,0%
