"Q3a:Thinking about all the issuess we have discussed related to your experience on UNRA'S  roads, please rate your general satisfaction  with UNRA's services related to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Total,,Region,,,,,,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,,,Respondent Gender,,,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,,,,,,,Age bracket,,,,,,,,,,,,,,,
,Satisfied,1330,56%,269,56%,233,49%,320,67%,281,59%,227,47%,96,60%,224,56%,55,47%,37,47%,18,45%,22,56%,58,73%,24,60%,55,69%,90,58%,24,60%,26,67%,23,58%,27,68%,27,68%,20,50%,17,43%,27,68%,28,70%,26,65%,58,73%,31,78%,17,43%,22,55%,51,43%,39,49%,62,52%,45,56%,26,33%,37,46%,18,45%,701,59%,629,53%,1197,55%,133,59%,23,58%,20,50%,24,60%,21,53%,23,59%,19,48%,25,63%,26,65%,22,55%,24,60%,24,60%,25,63%,21,55%,20,50%,16,41%,14,35%,21,53%,17,43%,16,40%,17,44%,21,53%,22,55%,23,59%,22,56%,24,60%,28,70%,18,45%,30,75%,30,75%,25,63%,26,65%,28,70%,31,78%,28,70%,30,75%,17,43%,27,68%,20,50%,24,63%,23,58%,17,44%,27,68%,26,68%,24,60%,27,68%,23,58%,26,67%,19,48%,21,53%,13,33%,14,35%,21,53%,16,40%,23,58%,20,50%,24,60%,25,63%,18,45%,13,33%,18,45%,232,58%,221,55%,212,54%,235,59%,221,55%,209,53%,263,59%,383,55%,275,57%,203,52%,148,55%,42,60%,15,50%,1,100%
,Very satisfied,191,8%,26,5%,45,9%,22,5%,23,5%,75,16%,14,9%,29,7%,7,6%,10,13%,0,0%,2,5%,2,3%,0,0%,10,13%,9,6%,1,3%,5,13%,3,8%,1,3%,1,3%,0,0%,0,0%,3,8%,3,8%,2,5%,2,3%,1,3%,4,10%,3,8%,4,3%,13,16%,30,25%,14,18%,1,1%,15,19%,2,5%,112,9%,79,7%,167,8%,24,11%,0,0%,2,5%,1,3%,2,5%,4,10%,5,13%,7,18%,0,0%,3,8%,2,5%,0,0%,6,15%,1,3%,1,3%,5,13%,5,13%,5,13%,4,10%,2,5%,2,5%,2,5%,3,8%,9,23%,2,5%,0,0%,1,3%,0,0%,6,15%,1,3%,4,10%,2,5%,1,3%,1,3%,3,8%,1,3%,0,0%,3,8%,0,0%,4,11%,3,8%,1,3%,1,3%,4,11%,1,3%,1,3%,0,0%,5,13%,10,25%,8,20%,1,3%,6,15%,6,15%,9,23%,13,33%,7,18%,6,15%,7,18%,2,5%,0,0%,0,0%,40,10%,29,7%,31,8%,26,7%,30,8%,35,9%,34,8%,55,8%,40,8%,32,8%,21,8%,2,3%,7,23%,0,0%
Upgrading of marrum roads to tarmac,Very dissatisfied,227,10%,33,7%,147,31%,4,1%,19,4%,24,5%,7,4%,46,12%,37,31%,34,43%,1,3%,1,3%,0,0%,1,3%,0,0%,7,5%,0,0%,0,0%,0,0%,0,0%,0,0%,7,18%,4,10%,1,3%,0,0%,1,3%,0,0%,0,0%,10,25%,14,35%,32,27%,5,6%,3,3%,1,1%,11,14%,3,4%,1,3%,87,7%,140,12%,208,10%,19,8%,3,8%,7,18%,3,8%,5,13%,2,5%,0,0%,0,0%,1,3%,1,3%,2,5%,0,0%,11,28%,14,35%,7,18%,21,53%,16,40%,13,33%,10,25%,13,33%,10,25%,8,20%,14,35%,10,25%,1,3%,1,3%,0,0%,1,3%,0,0%,0,0%,0,0%,1,3%,0,0%,0,0%,0,0%,0,0%,4,10%,1,3%,7,18%,0,0%,0,0%,2,5%,0,0%,0,0%,0,0%,0,0%,5,13%,0,0%,0,0%,1,3%,3,8%,3,8%,1,3%,2,5%,0,0%,3,8%,0,0%,2,5%,1,3%,8,20%,9,23%,36,9%,46,12%,41,10%,29,7%,35,9%,40,10%,40,9%,62,9%,54,11%,41,10%,22,8%,6,9%,2,7%,0,0%
,Dissatisfied,581,24%,133,28%,125,26%,140,29%,115,24%,68,14%,25,16%,118,30%,44,37%,17,21%,9,23%,15,38%,17,21%,15,38%,16,20%,47,31%,6,15%,8,21%,8,20%,8,20%,7,18%,10,25%,12,30%,9,23%,9,23%,14,35%,35,44%,10,25%,6,15%,10,25%,38,32%,10,13%,8,7%,8,10%,32,41%,5,6%,5,13%,236,20%,345,29%,525,24%,56,24%,9,23%,11,28%,6,15%,15,38%,5,13%,13,33%,7,18%,11,28%,18,45%,7,18%,13,33%,8,20%,19,48%,14,35%,6,15%,11,28%,11,28%,6,15%,10,26%,10,25%,10,25%,10,25%,10,25%,15,38%,15,38%,9,23%,9,23%,5,13%,8,20%,11,28%,14,35%,18,45%,10,25%,9,23%,17,43%,12,30%,9,23%,10,25%,5,13%,8,20%,20,51%,8,20%,8,22%,6,15%,7,18%,14,36%,8,21%,4,10%,4,10%,17,45%,5,13%,4,10%,1,3%,1,3%,3,8%,4,10%,5,13%,5,13%,15,38%,18,46%,87,22%,91,23%,93,24%,90,23%,106,27%,114,29%,120,27%,168,24%,115,24%,94,24%,60,22%,17,24%,6,20%,1,100%
,Neither nor,249,10%,64,13%,59,12%,25,5%,43,9%,58,12%,21,13%,51,13%,16,13%,12,15%,4,10%,3,8%,5,6%,3,8%,2,3%,15,10%,5,13%,5,13%,4,10%,2,5%,3,8%,2,5%,3,8%,4,10%,1,3%,3,8%,3,4%,1,3%,9,23%,2,5%,12,10%,10,13%,14,12%,10,13%,4,5%,16,20%,4,10%,138,12%,111,9%,224,10%,25,11%,15,38%,3,8%,9,23%,1,3%,3,8%,9,23%,6,15%,3,8%,3,8%,3,8%,6,15%,4,10%,4,10%,9,23%,6,15%,3,8%,6,15%,9,23%,5,13%,4,10%,6,15%,2,5%,1,3%,3,8%,3,8%,3,8%,4,10%,1,3%,2,5%,1,3%,3,8%,2,5%,1,3%,1,3%,1,3%,3,8%,4,10%,2,5%,2,5%,4,10%,5,13%,2,5%,3,8%,5,13%,3,8%,5,13%,5,13%,7,18%,4,10%,2,5%,6,15%,8,21%,8,20%,3,8%,4,10%,6,15%,4,10%,4,10%,2,5%,3,8%,40,10%,38,10%,42,11%,47,12%,46,12%,36,9%,41,9%,81,12%,38,8%,47,12%,26,10%,11,16%,5,17%,0,0%
,Satisfied,1163,49%,223,47%,129,27%,284,60%,264,56%,263,55%,97,61%,162,41%,20,17%,15,19%,25,64%,19,49%,55,69%,20,50%,57,72%,74,48%,26,65%,21,54%,24,60%,27,68%,28,70%,21,53%,20,50%,23,58%,26,67%,19,48%,38,48%,25,63%,14,35%,13,33%,31,26%,45,56%,70,59%,47,59%,28,36%,48,61%,25,63%,637,54%,526,44%,1054,49%,109,48%,12,30%,16,41%,21,53%,17,43%,27,68%,16,40%,24,60%,22,56%,16,40%,25,63%,20,51%,15,38%,2,5%,10,25%,6,15%,8,20%,9,23%,14,35%,10,26%,14,35%,11,28%,13,33%,17,43%,19,49%,20,50%,26,65%,25,64%,30,77%,29,73%,27,68%,19,48%,17,43%,25,63%,26,67%,21,53%,20,50%,23,58%,21,53%,25,66%,24,60%,11,28%,27,68%,24,65%,26,65%,28,70%,14,36%,21,54%,23,58%,26,65%,13,34%,21,53%,22,56%,26,65%,26,67%,21,53%,21,53%,24,60%,25,63%,15,38%,7,18%,200,51%,203,51%,189,48%,210,53%,184,46%,177,45%,217,49%,338,49%,238,50%,183,47%,142,53%,32,46%,13,43%,0,0%
,Very satisfied,159,7%,23,5%,19,4%,23,5%,31,7%,63,13%,10,6%,20,5%,3,3%,2,3%,0,0%,1,3%,3,4%,1,3%,4,5%,10,7%,3,8%,5,13%,4,10%,3,8%,2,5%,0,0%,1,3%,3,8%,3,8%,3,8%,4,5%,4,10%,1,3%,1,3%,5,4%,10,13%,24,20%,14,18%,3,4%,7,9%,5,13%,90,8%,69,6%,139,6%,20,9%,1,3%,2,5%,1,3%,2,5%,3,8%,2,5%,3,8%,2,5%,2,5%,3,8%,0,0%,2,5%,1,3%,0,0%,1,3%,2,5%,1,3%,1,3%,1,3%,2,5%,5,13%,1,3%,2,5%,1,3%,1,3%,2,5%,0,0%,3,8%,1,3%,1,3%,3,8%,3,8%,4,10%,3,8%,1,3%,1,3%,3,8%,0,0%,6,16%,4,10%,1,3%,3,8%,2,5%,3,8%,2,5%,1,3%,5,13%,6,15%,5,13%,3,8%,5,13%,4,10%,3,8%,9,23%,9,23%,9,23%,5,13%,5,13%,0,0%,2,5%,31,8%,22,6%,26,7%,22,6%,29,7%,29,7%,29,6%,45,6%,32,7%,26,7%,19,7%,4,6%,4,13%,0,0%
Ferryservices between ronational roads,Very dissatisfied,21,2%,6,2%,2,1%,4,1%,4,1%,5,4%,2,3%,3,2%,0,0%,0,0%,1,4%,1,4%,0,0%,1,4%,0,0%,4,3%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,3%,0,0%,0,0%,0,0%,2,15%,1,2%,0,0%,1,4%,1,4%,3,10%,0,0%,0,0%,7,1%,14,3%,17,2%,4,5%,0,0%,0,0%,0,0%,0,0%,1,3%,2,18%,0,0%,0,0%,1,4%,1,5%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,15%,0,0%,1,4%,1,4%,0,0%,1,4%,0,0%,0,0%,0,0%,1,3%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,3%,0,0%,1,4%,0,0%,0,0%,2,5%,0,0%,0,0%,1,7%,1,8%,0,0%,0,0%,0,0%,0,0%,1,9%,0,0%,0,0%,0,0%,2,13%,1,5%,4,2%,2,1%,0,0%,1,%,11,6%,3,2%,2,1%,8,2%,5,2%,3,1%,3,2%,0,0%,0,0%,0,0%
,Dissatisfied,136,12%,31,13%,23,15%,28,10%,24,8%,30,22%,10,13%,20,10%,5,13%,6,32%,1,4%,4,14%,3,6%,2,9%,4,9%,14,11%,0,0%,1,3%,1,6%,0,0%,0,0%,5,23%,2,10%,1,3%,4,18%,1,3%,6,14%,3,15%,0,0%,4,31%,9,17%,8,35%,2,8%,2,7%,9,31%,5,29%,4,29%,55,9%,81,15%,128,12%,8,9%,2,7%,5,13%,0,0%,0,0%,2,7%,1,9%,3,33%,1,5%,2,8%,5,26%,4,17%,4,36%,2,14%,1,7%,2,33%,2,20%,4,31%,0,0%,1,7%,2,11%,0,0%,4,31%,1,6%,4,14%,2,9%,1,5%,1,4%,3,12%,2,7%,1,5%,1,3%,3,15%,3,15%,4,18%,3,13%,2,10%,1,3%,5,23%,1,3%,1,6%,6,20%,0,0%,2,9%,0,0%,0,0%,5,14%,1,3%,0,0%,1,7%,4,31%,3,30%,2,22%,3,38%,0,0%,2,18%,1,8%,5,38%,4,29%,5,31%,6,30%,23,11%,26,14%,26,13%,20,9%,16,9%,25,16%,32,17%,32,10%,29,13%,23,11%,14,10%,6,17%,0,0%,0,0%
,Neither nor,217,19%,71,29%,38,24%,80,28%,15,5%,13,10%,22,29%,48,25%,21,55%,5,26%,8,32%,10,36%,8,16%,10,43%,14,30%,6,5%,2,10%,1,3%,0,0%,0,0%,1,5%,2,9%,1,5%,2,6%,7,32%,4,14%,11,26%,8,40%,0,0%,0,0%,13,25%,2,9%,4,15%,4,15%,0,0%,1,6%,2,14%,110,19%,107,19%,196,19%,21,24%,5,19%,8,21%,7,39%,0,0%,13,43%,7,64%,2,22%,6,27%,7,28%,0,0%,9,39%,2,18%,7,50%,10,71%,0,0%,4,40%,5,38%,0,0%,2,14%,4,22%,1,7%,0,0%,3,18%,10,36%,10,43%,4,19%,8,32%,7,28%,4,14%,7,32%,4,14%,6,30%,8,40%,7,32%,5,22%,1,5%,2,6%,2,9%,1,3%,0,0%,2,7%,0,0%,1,4%,2,10%,1,5%,2,5%,1,3%,1,8%,1,7%,0,0%,1,10%,1,11%,0,0%,1,33%,2,18%,3,25%,1,8%,2,14%,0,0%,7,35%,32,15%,38,21%,40,21%,33,16%,41,23%,33,21%,29,16%,67,20%,42,18%,37,18%,21,15%,15,42%,6,40%,0,0%
