,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,Age bracket,,,,,,,
,,,,Southern, Central, Eastern, Northern, Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA
,,,3%,3%,6%,3%,%,3%,1%,6%,7%,4%,3%,0%,5%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,3%,3%,0%,1%,13%,3%,13%,1%,1%,7%,3%,1%,1%,5%,4%,2%,3%,2%,0%,8%,3%,0%,0%,15%,0%,3%,3%,3%,3%,10%,5%,8%,5%,8%,3%,3%,0%,0%,5%,13%,10%,0%,0%,3%,3%,3%,8%,0%,0%,0%,13%,3%,3%,0%,3%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,5%,3%,3%,3%,0%,3%,10%,5%,3%,0%,5%,0%,3%,4%,3%,4%,4%,3%,1%,2%,3%,5%,4%,2%,0%,7%,100%
, Construction of long lasting roads,,344,71,56,56,100,61,18,60,15,11,6,3,10,5,11,35,8,13,9,7,9,12,2,5,8,4,6,3,5,10,8,8,14,5,14,13,7,169,175,316,28,9,7,5,2,5,3,7,11,7,1,8,4,4,5,7,6,4,5,0,2,6,10,3,3,5,4,6,6,6,5,4,3,3,8,3,2,5,12,6,9,16,7,3,8,9,10,13,4,3,6,6,6,7,6,4,2,2,7,8,6,63,49,68,61,56,47,48,104,84,53,37,15,3,0
,,,14%,15%,12%,12%,21%,13%,11%,15%,13%,14%,15%,8%,13%,13%,14%,22%,20%,33%,23%,18%,23%,30%,5%,13%,20%,10%,8%,8%,13%,25%,7%,10%,12%,6%,18%,16%,18%,14%,15%,15%,12%,23%,18%,13%,5%,13%,8%,18%,28%,18%,3%,20%,10%,10%,13%,18%,15%,10%,13%,0%,5%,15%,25%,8%,8%,13%,10%,15%,15%,15%,13%,10%,8%,8%,20%,8%,5%,13%,30%,15%,23%,40%,18%,8%,20%,23%,25%,33%,10%,8%,15%,15%,15%,18%,15%,10%,5%,5%,18%,20%,15%,16%,12%,17%,15%,14%,12%,11%,15%,17%,13%,14%,21%,10%,0%
, Putting and repairing traffic lights,,70,21,23,5,8,13,6,25,1,6,0,0,0,1,1,4,2,0,1,0,1,0,0,0,1,0,0,2,1,0,5,2,3,3,3,1,1,37,33,62,8,1,3,1,1,1,4,2,1,2,2,2,4,1,0,4,0,2,1,2,2,3,0,4,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,2,1,0,0,2,2,1,0,0,2,2,1,1,0,1,0,1,1,1,1,2,1,12,17,11,8,14,8,19,22,11,12,5,0,1,0
,,,3%,4%,5%,1%,2%,3%,4%,6%,1%,8%,0%,0%,0%,3%,1%,3%,5%,0%,3%,0%,3%,0%,0%,0%,3%,0%,0%,5%,3%,0%,4%,3%,3%,4%,4%,1%,3%,3%,3%,3%,3%,3%,8%,3%,3%,3%,10%,5%,3%,5%,5%,5%,10%,3%,0%,10%,0%,5%,3%,5%,5%,8%,0%,10%,0%,3%,0%,0%,3%,0%,0%,0%,0%,5%,3%,0%,0%,0%,0%,5%,3%,0%,0%,5%,5%,3%,0%,0%,5%,5%,3%,3%,0%,3%,0%,3%,3%,3%,3%,5%,3%,3%,4%,3%,2%,3%,2%,4%,3%,2%,3%,2%,0%,3%,0%
, Fill Potholes,,320,58,56,56,65,85,19,44,10,14,5,5,7,6,9,19,3,7,6,8,4,5,4,9,2,6,13,3,3,7,17,12,9,9,18,27,10,171,149,289,31,7,5,6,7,7,2,3,4,5,3,2,4,6,4,11,0,3,3,2,8,6,7,2,5,6,3,5,3,4,6,6,4,3,2,9,4,9,5,7,6,2,8,7,3,4,3,7,7,8,11,8,17,10,1,1,1,4,10,7,7,51,60,56,47,46,60,74,88,61,65,22,6,3,1
,,,13%,12%,12%,12%,14%,18%,12%,11%,8%,18%,13%,13%,9%,15%,11%,12%,8%,18%,15%,20%,10%,13%,10%,23%,5%,15%,16%,8%,8%,18%,14%,15%,8%,11%,23%,34%,25%,14%,12%,13%,13%,18%,13%,15%,18%,18%,5%,8%,10%,13%,8%,5%,10%,15%,10%,28%,0%,8%,8%,5%,20%,15%,18%,5%,13%,15%,8%,13%,8%,10%,15%,15%,10%,8%,5%,23%,10%,23%,13%,18%,15%,5%,20%,18%,8%,10%,8%,18%,18%,20%,28%,20%,43%,25%,3%,3%,3%,10%,25%,18%,18%,13%,15%,14%,12%,11%,15%,17%,13%,13%,17%,8%,8%,10%,100%
, Reduce Corruption,,72,18,20,18,11,5,11,10,6,0,0,0,5,1,2,2,2,1,3,0,1,0,0,2,1,3,4,2,3,3,5,1,2,0,0,2,0,40,32,63,9,3,1,3,0,3,1,1,1,1,4,0,2,4,2,0,0,0,3,3,2,1,3,0,0,1,1,0,1,4,1,3,2,2,1,2,0,2,0,1,3,0,0,0,2,1,1,1,2,0,0,0,0,2,0,0,0,1,0,0,0,15,15,5,12,16,9,15,22,10,11,9,3,2,0
,,,3%,4%,4%,4%,2%,1%,7%,3%,5%,0%,0%,0%,6%,3%,3%,1%,5%,3%,8%,0%,3%,0%,0%,5%,3%,8%,5%,5%,8%,8%,4%,1%,2%,0%,0%,3%,0%,3%,3%,3%,4%,8%,3%,8%,0%,8%,3%,3%,3%,3%,10%,0%,5%,10%,5%,0%,0%,0%,8%,8%,5%,3%,8%,0%,0%,3%,3%,0%,3%,10%,3%,8%,5%,5%,3%,5%,0%,5%,0%,3%,8%,0%,0%,0%,5%,3%,3%,3%,5%,0%,0%,0%,0%,5%,0%,0%,0%,3%,0%,0%,0%,4%,4%,1%,3%,4%,2%,3%,3%,2%,3%,3%,4%,7%,0%
, Better traffic enforcement,,104,18,23,21,25,17,8,13,6,4,0,0,5,0,4,12,4,2,3,3,0,0,0,1,3,1,4,4,2,4,4,2,6,2,4,2,1,53,51,100,4,2,2,4,1,0,1,1,0,2,3,0,1,5,1,2,0,2,2,2,0,2,4,2,0,0,3,0,1,2,3,1,3,4,3,1,0,1,0,3,3,3,3,3,4,0,3,2,2,1,4,0,2,0,4,0,1,2,1,0,2,25,17,15,12,12,23,26,30,22,13,10,3,0,0
,,,4%,4%,5%,4%,5%,4%,5%,3%,5%,5%,0%,0%,6%,0%,5%,8%,10%,5%,8%,8%,0%,0%,0%,3%,8%,3%,5%,10%,5%,10%,3%,3%,5%,3%,5%,3%,3%,4%,4%,5%,2%,5%,5%,10%,3%,0%,3%,3%,0%,5%,8%,0%,3%,13%,3%,5%,0%,5%,5%,5%,0%,5%,10%,5%,0%,0%,8%,0%,3%,5%,8%,3%,8%,10%,8%,3%,0%,3%,0%,8%,8%,8%,8%,8%,10%,0%,8%,5%,5%,3%,10%,0%,5%,0%,10%,0%,3%,5%,3%,0%,5%,6%,4%,4%,3%,3%,6%,6%,4%,5%,3%,4%,4%,0%,0%
, Improve the drainage systems,,423,75,74,105,71,98,23,66,17,12,9,9,16,14,19,24,5,6,9,3,4,6,10,4,8,11,13,6,8,6,17,13,30,6,22,15,12,177,246,384,39,6,6,8,6,9,4,2,11,8,4,8,4,9,2,8,6,4,8,8,6,8,6,5,9,14,11,9,7,5,12,11,9,6,8,4,10,4,6,7,9,3,3,5,5,4,9,6,7,6,12,2,4,11,9,14,0,11,12,10,3,55,79,70,61,73,85,85,118,76,75,51,12,6,0
,,,18%,16%,15%,22%,15%,20%,14%,17%,14%,15%,23%,23%,20%,35%,24%,15%,13%,15%,23%,8%,10%,15%,25%,10%,20%,28%,16%,15%,20%,15%,14%,16%,25%,8%,28%,19%,30%,15%,21%,18%,17%,15%,15%,20%,15%,23%,10%,5%,28%,20%,10%,20%,10%,23%,5%,20%,15%,10%,20%,20%,15%,20%,15%,13%,23%,35%,28%,23%,18%,13%,30%,28%,23%,15%,20%,10%,25%,10%,15%,18%,23%,8%,8%,13%,13%,10%,23%,15%,18%,15%,30%,5%,10%,28%,23%,35%,0%,28%,30%,25%,8%,14%,20%,18%,15%,18%,21%,19%,17%,16%,19%,19%,17%,20%,0%
, Better road safety at night and security,,66,22,14,12,10,8,9,16,5,2,0,0,1,0,3,2,0,0,1,2,2,2,1,0,1,1,5,1,1,1,2,1,1,4,1,0,1,39,27,55,11,2,3,5,2,3,2,0,1,3,1,0,1,1,2,0,2,2,1,1,1,2,1,0,0,0,0,0,2,1,1,1,3,1,1,2,1,0,2,0,1,0,2,2,0,2,0,0,0,2,1,1,0,0,1,0,2,0,1,0,0,13,13,4,12,13,11,15,19,14,11,7,0,0,0
,,,3%,5%,3%,3%,2%,2%,6%,4%,4%,3%,0%,0%,1%,0%,4%,1%,0%,0%,3%,5%,5%,5%,3%,0%,3%,3%,6%,3%,3%,3%,2%,1%,1%,5%,1%,0%,3%,3%,2%,3%,5%,5%,8%,13%,5%,8%,5%,0%,3%,8%,3%,0%,3%,3%,5%,0%,5%,5%,3%,3%,3%,5%,3%,0%,0%,0%,0%,0%,5%,3%,3%,3%,8%,3%,3%,5%,3%,0%,5%,0%,3%,0%,5%,5%,0%,5%,0%,0%,0%,5%,3%,3%,0%,0%,3%,0%,5%,0%,3%,0%,0%,3%,3%,1%,3%,3%,3%,3%,3%,3%,3%,3%,0%,0%,0%
, creating seperate paths for motorists,,145,33,35,28,19,30,11,32,7,3,3,1,9,0,2,7,2,3,1,1,4,0,0,1,2,1,6,4,2,4,9,8,0,6,5,7,4,96,49,132,13,5,1,5,3,1,2,3,1,4,2,4,2,2,5,0,0,3,2,5,2,4,4,6,1,0,5,3,2,4,0,1,3,4,2,3,0,1,0,2,1,2,1,2,2,4,1,3,0,2,5,4,3,4,0,0,4,4,4,0,2,19,35,18,21,23,29,27,42,25,27,22,2,0,0
,,,6%,7%,7%,6%,4%,6%,7%,8%,6%,4%,8%,3%,11%,0%,3%,4%,5%,8%,3%,3%,10%,0%,0%,3%,5%,3%,8%,10%,5%,10%,8%,10%,0%,8%,6%,9%,10%,8%,4%,6%,6%,13%,3%,13%,8%,3%,5%,8%,3%,10%,5%,10%,5%,5%,13%,0%,0%,8%,5%,13%,5%,10%,10%,15%,3%,0%,13%,8%,5%,10%,0%,3%,8%,10%,5%,8%,0%,3%,0%,5%,3%,5%,3%,5%,5%,10%,3%,8%,0%,5%,13%,10%,8%,10%,0%,0%,10%,10%,10%,0%,5%,5%,9%,5%,5%,6%,7%,6%,6%,5%,7%,8%,3%,0%,0%
, Less theft / Robbery,,18,2,1,3,5,7,0,1,1,0,0,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,2,1,1,1,0,2,8,10,14,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,3,2,2,3,4,4,3,5,3,4,1,2,0,0
,,,1%,%,%,1%,1%,1%,0%,%,1%,0%,0%,0%,1%,0%,0%,2%,0%,0%,3%,0%,0%,0%,3%,0%,0%,0%,1%,3%,0%,0%,1%,3%,1%,1%,1%,0%,5%,1%,1%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,3%,3%,0%,0%,3%,0%,0%,3%,3%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,3%,5%,5%,3%,3%,1%,%,1%,1%,1%,1%,1%,1%,1%,1%,%,3%,0%,0%
, Educate users about road usage/get their feed back,,35,2,7,8,13,5,1,1,4,2,0,1,3,0,2,3,3,1,0,0,3,0,1,2,0,0,2,0,0,0,1,1,1,1,0,0,2,20,15,33,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,0,2,1,2,0,1,0,0,0,2,3,3,0,1,1,0,0,0,0,0,0,0,1,1,2,0,1,3,7,3,15,2,5,5,11,7,7,3,1,1,0
,,,1%,%,1%,2%,3%,1%,1%,%,3%,3%,0%,3%,4%,0%,3%,2%,8%,3%,0%,0%,8%,0%,3%,5%,0%,0%,3%,0%,0%,0%,1%,1%,1%,1%,0%,0%,5%,2%,1%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,5%,5%,5%,0%,0%,0%,0%,0%,0%,3%,3%,0%,8%,0%,0%,0%,5%,0%,0%,0%,0%,5%,3%,5%,0%,3%,0%,0%,0%,5%,8%,8%,0%,3%,3%,0%,0%,0%,0%,0%,0%,0%,3%,3%,5%,0%,3%,1%,2%,1%,4%,%,1%,1%,2%,1%,2%,1%,1%,3%,0%
, Re-construct all national roads,,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0
,,,%,%,0%,0%,0%,%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,%,%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,%,0%,0%,0%,0%,%,0%,%,0%,0%,0%,0%,0%
, Construct inter-connection roads (feeder roads to main),,36,4,5,2,16,9,0,4,2,1,0,0,0,2,0,6,1,1,1,0,2,3,1,1,0,0,0,0,1,0,1,1,0,3,3,0,2,15,21,34,2,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,0,1,1,2,2,1,0,2,1,0,0,0,0,0,1,1,2,2,0,4,4,7,7,6,8,6,9,9,5,6,1,0,0
,,,2%,1%,1%,%,3%,2%,0%,1%,2%,1%,0%,0%,0%,5%,0%,4%,3%,3%,3%,0%,5%,8%,3%,3%,0%,0%,0%,0%,3%,0%,1%,1%,0%,4%,4%,0%,5%,1%,2%,2%,1%,3%,3%,0%,3%,0%,3%,0%,0%,0%,0%,0%,0%,3%,3%,0%,0%,3%,3%,3%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,3%,8%,5%,3%,3%,0%,3%,3%,5%,5%,3%,0%,5%,3%,0%,0%,0%,0%,0%,3%,3%,5%,5%,0%,1%,1%,2%,2%,1%,2%,1%,1%,2%,1%,2%,1%,0%,0%
, Construct more weighing bridge stations on roads,,11,2,0,2,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,7,4,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,2,4,0,1,0,2,1,4,2,2,0,0
,,,%,%,0%,%,1%,%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,3%,5%,0%,3%,0%,3%,1%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,1%,%,1%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,3%,0%,0%,0%,0%,3%,5%,0%,0%,0%,3%,0%,0%,3%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,3%,0%,0%,0%,0%,1%,0%,1%,1%,0%,%,0%,%,%,1%,1%,3%,0%,0%
, Consider and act on people's complaints,,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
,,,%,%,0%,0%,%,0%,0%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,0%,0%,0%,%,%,0%,0%,0%,0%,0%
, Award road contracts to efficient companies,,14,2,3,2,7,0,1,1,1,1,0,0,2,0,0,0,3,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,13,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,5,3,2,2,4,2,2,3,1,0,0
,,,1%,%,1%,%,1%,0%,1%,%,1%,1%,0%,0%,3%,0%,0%,0%,8%,3%,0%,0%,3%,0%,3%,3%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,1%,1%,%,0%,0%,0%,0%,3%,0%,0%,0%,3%,0%,0%,0%,0%,3%,0%,0%,3%,0%,0%,3%,0%,0%,0%,0%,0%,3%,0%,0%,3%,0%,0%,0%,0%,0%,0%,3%,3%,0%,0%,0%,0%,0%,0%,8%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,%,1%,1%,1%,%,1%,%,1%,1%,1%,0%,0%
, put fly overs on roads and bridges,,76,10,9,17,36,4,3,7,2,0,0,1,0,4,6,11,4,3,1,2,2,1,12,0,4,0,1,1,1,0,6,0,1,1,0,2,0,29,47,72,4,0,2,0,0,2,2,0,0,2,1,0,0,0,2,0,0,0,1,3,2,0,0,1,1,4,0,0,2,0,4,0,1,1,4,0,12,0,1,3,1,3,2,2,4,2,3,3,1,1,0,0,0,2,0,0,0,0,0,0,1,15,15,19,11,9,7,10,29,11,13,11,2,0,0
,,,3%,2%,2%,4%,8%,1%,2%,2%,2%,0%,0%,3%,0%,10%,8%,7%,10%,8%,3%,5%,5%,3%,30%,0%,10%,0%,1%,3%,3%,0%,5%,0%,1%,1%,0%,3%,0%,2%,4%,3%,2%,0%,5%,0%,0%,5%,5%,0%,0%,5%,3%,0%,0%,0%,5%,0%,0%,0%,3%,8%,5%,0%,0%,3%,3%,10%,0%,0%,5%,0%,10%,0%,3%,3%,10%,0%,30%,0%,3%,8%,3%,8%,5%,5%,10%,5%,8%,8%,3%,3%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,3%,4%,4%,5%,3%,2%,2%,2%,4%,2%,3%,4%,3%,0%,0%
, maintain  the road reserves,,24,4,3,8,7,2,0,5,1,1,4,0,2,1,1,3,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,19,5,20,4,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,4,7,5,4,5,6,3,7,2,1,0,0
,,,1%,1%,1%,2%,1%,%,0%,1%,1%,1%,10%,0%,3%,3%,1%,2%,0%,0%,0%,3%,0%,0%,0%,8%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,1%,0%,2%,%,1%,2%,3%,0%,0%,3%,0%,5%,0%,0%,0%,0%,0%,3%,0%,0%,0%,3%,3%,0%,0%,0%,0%,0%,0%,0%,3%,3%,10%,3%,3%,0%,0%,0%,0%,0%,0%,0%,8%,0%,3%,0%,3%,3%,3%,0%,0%,0%,0%,0%,0%,0%,3%,0%,3%,0%,0%,0%,0%,0%,0%,0%,1%,%,1%,2%,1%,1%,1%,1%,1%,2%,1%,1%,0%,0%
, Design waiting shades for passengers,,6,2,3,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,2,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,1,3,0,0,0,1,0
,,,%,%,1%,%,0%,0%,1%,%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,3%,0%,1%,0%,0%,0%,0%,0%,0%,%,%,%,0%,3%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,3%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,1%,0%,0%,%,%,%,1%,0%,0%,0%,3%,0%
, Reduce tax charges and penalties,,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
,,,%,0%,%,0%,0%,0%,0%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,0%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,0%,0%,0%,0%,0%,0%,0%,%,0%,0%,0%,0%,0%
, Proper inspection on road works and usage for better results,,29,1,3,7,12,6,1,2,0,0,1,0,1,0,2,2,1,1,0,0,0,4,1,3,3,0,0,0,0,0,1,1,2,1,0,2,0,14,15,27,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,0,0,0,3,0,1,3,4,1,0,0,0,1,1,0,0,1,2,0,0,0,1,1,0,0,1,1,0,0,0,1,7,4,8,5,4,3,8,6,8,3,1,0,0
,,,1%,%,1%,1%,3%,1%,1%,1%,0%,0%,3%,0%,1%,0%,3%,1%,3%,3%,0%,0%,0%,10%,3%,8%,8%,0%,0%,0%,0%,0%,1%,1%,2%,1%,0%,3%,0%,1%,1%,1%,1%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,5%,0%,0%,0%,0%,3%,3%,0%,0%,5%,0%,0%,0%,8%,0%,3%,8%,10%,3%,0%,0%,0%,3%,3%,0%,0%,3%,5%,0%,0%,0%,3%,3%,0%,0%,3%,3%,0%,0%,0%,%,2%,1%,2%,1%,1%,1%,1%,1%,2%,1%,1%,0%,0%
