,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,Age bracket,,,,,,,
,,,,Southern, Central, Eastern, Northern, Western,Kampala,Wakiso,Mubende,Mityana,Soroti,Ngora,Mbale,Amuria,Tororo,Arua,Gulu,Nwoya,Lamwo,Oyam,Lira,Kitgum,Alebtong,Dokolo,Bukedea,Kamuli,Iganga,Busia,Luwero,Rakai,Mukono,Bushenyi,Ntungamo,Mbarara,Masindi,Kasese,Hoima,PAVED,UNPAVED,MALE,FEMALE, Access to Katabi (Kampala/Wakiso), Entebbe-Nakiwogo (Kampala/Wakiso), Mbuya/Silver Springs-Bweyogerere (Kampala/Wakiso), Kakikiri-Lwentama (Kampala/Wakiso), Entebbe Road (Kampala/Wakiso), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder (Kampala/Wakiso), Busega-Northern bypass (Kampala/Wakiso), Abayita-Ababiri-Kasenyi (Kampala/Wakiso), Old Masaka Road(Kyengera-Kabojja Secondary school turn off) (Kampala/Wakiso), Namboole-Kampala Industrial park-Mukono (Kampala/Wakiso), Misindye-bukerere-kiyunge (Kampala/Wakiso), Kampala Northern bypass ( Central), Muyina Yina Prison ( Central), Kampala-Mubende-Fort portal-Uganda/DRC Boarder ( Central), Mityana-Railway Access ( Central), Rwebituti-Gold mines spur ( Central), Mityana Katakala Naama ( Central), Zirobwe-Lwajjali-Kasawo-Kabimbili ( Central), Kampala-Uganda/Kenya boarder(Malaba) ( Central), Mukono-kyetume-Kisoga-Katosi ( Central), Nabbingo Access Road ( Central), Masaka-Kyotela-Mutukula ( Central), Kubili-Round about-Gayaza-Kalagi ( Central), Tirinyi-Pallisa-Ladot-kumi ( East), Amuria-Amucu-Kapelebyong-Oreta ( East), Iganga-Tirinyi-Mbale ( East), Lira Junction-Arapai ( East), Tororo-Mbale-Soroti-Lira-Kamdini corner ( East), Iganga-Tirinyi-Mbale ( East), Magodes Busumbu Bunamba ( East), Kamuli Railway Access ( East), Iganga Railway Access ( East), Namutere-Busia ( East), Kachumbala-Korir ( East), Kampala-Uganda/Kenya boarder(Malaba) ( East), Ngetta-Apala-Adwari (North), Tororo-Mbale-Soroti-Lira-Kamdini corner  (North), Kitgum-Orom (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Lira-Acholibur-kitgum-Uganda/Sudan Boader  (North), Atiak-Adjumani-Moyo-Yumbe-Manibe (North), Kampala-Luweero-Karuma-Gulu-Uganda/Sudan Boarder  (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder (North), Layibi-Custom Corner (North), Tororo-Mbale-Soroti-Lira-Kamdini Corner (North), Arua-Biliafe-Otrevu (North), Karuma-Packwach-Nebbi-Arua-Koboko-Uganda/Sudan Boarder  (North), Kakuru-Rubale (West), Ntare-Mutonto-Kacwangole (West), Kisanja Park jctn-Buliisa (West), Ntungamo-Kitaga-Kikolongo (West), Kampala-Mubende-Fort portal-Uganda/DRC Boarder (West), Kasese-Railway Station Road (West), Kagamba Rukungiri (West), Ntungamo-Kakukuru (West), Kampala-Masaka-Mbarara-Kabale-Uganda/Rwanda boarder (West), Kabwohe-Bwizibwera (West), Kampala-Busunju-Kiboga-Hoima (West), Bwijanga-Isimba Prisons (West), Kyampisi-Musamya-Najoge-Namataba,Trucker Driver,Motor-cyclists,Bus / Matatu Drivers,Car Drivers,Passenger,Cyclist,18-24,25-30,31-36,37-44,45-54,55-63,64 +,RTA
,,,39%,34%,21%,37%,58%,43%,28%,30%,23%,25%,60%,65%,33%,53%,38%,64%,40%,55%,63%,53%,38%,60%,75%,53%,18%,45%,20%,23%,33%,15%,28%,41%,53%,38%,54%,31%,33%,31%,46%,38%,47%,40%,18%,35%,33%,38%,10%,10%,65%,23%,30%,73%,13%,23%,20%,30%,25%,20%,33%,15%,38%,3%,15%,20%,65%,53%,25%,60%,33%,40%,43%,45%,15%,23%,18%,25%,75%,53%,60%,55%,63%,75%,53%,45%,40%,38%,83%,55%,48%,40%,53%,28%,28%,35%,40%,73%,35%,55%,33%,55%,30%,34%,39%,39%,36%,45%,38%,40%,35%,38%,39%,40%,52%,47%,0%
," Better Road Safety (Signs, Lines, Road humps)",,917,146,185,199,188,199,45,132,50,33,10,12,29,11,39,52,23,13,17,16,18,12,14,23,24,13,40,21,14,19,38,31,56,42,23,36,11,487,430,838,79,8,13,8,15,10,19,13,11,11,14,8,16,12,14,14,24,19,14,11,11,16,19,15,12,11,14,10,25,15,14,13,18,21,24,22,14,23,12,12,17,8,16,23,23,18,9,13,15,16,9,21,19,17,19,22,26,10,11,14,16,172,155,138,158,151,143,174,275,177,150,109,22,10,0
,,,38%,30%,39%,41%,39%,41%,28%,33%,42%,41%,25%,30%,36%,28%,49%,33%,58%,33%,43%,40%,45%,30%,35%,58%,60%,33%,50%,53%,35%,48%,32%,39%,47%,53%,29%,45%,28%,41%,36%,39%,34%,20%,33%,20%,38%,25%,48%,33%,28%,28%,35%,20%,40%,30%,35%,35%,60%,48%,35%,28%,28%,40%,48%,38%,30%,28%,35%,25%,63%,38%,35%,33%,45%,53%,60%,55%,35%,58%,30%,30%,43%,20%,40%,58%,58%,45%,23%,33%,38%,40%,23%,53%,48%,43%,48%,55%,65%,25%,28%,35%,40%,43%,38%,35%,39%,38%,36%,39%,39%,37%,38%,40%,31%,33%,0%
, More Footways/Pedestrian paths,,207,63,61,32,35,16,22,53,13,10,1,2,7,0,5,12,3,3,2,6,5,1,3,0,1,7,7,2,4,5,17,1,1,5,5,2,2,114,93,183,24,6,6,6,8,4,3,9,1,9,3,3,4,3,6,1,4,9,4,7,5,4,5,9,2,0,4,1,1,3,4,7,4,2,1,3,3,0,1,5,2,3,6,3,3,5,1,3,0,1,3,0,1,1,1,0,4,1,2,2,5,38,32,29,25,39,44,42,58,45,31,26,5,0,0
,,,9%,13%,13%,7%,7%,3%,14%,13%,11%,13%,3%,5%,9%,0%,6%,8%,8%,8%,5%,15%,13%,3%,8%,0%,3%,18%,9%,5%,10%,13%,14%,1%,1%,6%,6%,3%,5%,10%,8%,8%,10%,15%,15%,15%,20%,10%,8%,23%,3%,23%,8%,8%,10%,8%,15%,3%,10%,23%,10%,18%,13%,10%,13%,23%,5%,0%,10%,3%,3%,8%,10%,18%,10%,5%,3%,8%,8%,0%,3%,13%,5%,8%,15%,8%,8%,13%,3%,8%,0%,3%,8%,0%,3%,3%,3%,0%,10%,3%,5%,5%,13%,10%,8%,7%,6%,10%,11%,9%,8%,9%,8%,10%,7%,0%,0%
, Better Public Transport,,25,5,1,13,3,3,4,2,0,0,0,2,2,2,0,3,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,2,1,0,0,11,14,18,7,0,0,2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,3,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,4,1,4,4,8,4,5,5,5,5,5,0,0,0
,,,1%,1%,%,3%,1%,1%,3%,1%,0%,0%,0%,5%,3%,5%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,3%,5%,4%,3%,0%,0%,0%,0%,0%,3%,1%,0%,0%,1%,1%,1%,3%,0%,0%,5%,0%,5%,0%,0%,3%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,5%,5%,0%,0%,0%,0%,5%,8%,3%,3%,0%,0%,0%,0%,0%,0%,3%,0%,5%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,3%,0%,0%,3%,0%,1%,%,1%,1%,2%,1%,1%,1%,1%,1%,2%,0%,0%,0%
, Wider Roads,,1441,317,278,326,185,335,109,262,66,35,21,25,59,21,56,63,16,16,10,16,17,11,15,21,29,25,56,34,22,23,78,60,71,62,53,57,32,771,670,1309,132,29,37,25,16,29,25,23,27,26,32,20,28,24,25,15,17,20,22,25,25,31,23,23,25,21,30,21,31,29,25,25,27,34,29,29,15,21,11,9,10,19,16,18,16,17,17,16,26,33,27,34,29,28,25,20,29,26,32,26,28,258,254,231,234,242,222,254,439,298,220,169,40,21,0
,,,60%,66%,58%,68%,39%,70%,68%,66%,55%,44%,53%,63%,74%,53%,70%,39%,40%,40%,25%,40%,43%,28%,38%,53%,73%,63%,70%,85%,55%,58%,65%,75%,59%,78%,66%,71%,80%,64%,56%,60%,57%,73%,93%,63%,40%,73%,63%,58%,68%,65%,80%,50%,70%,60%,63%,38%,43%,50%,55%,63%,63%,78%,58%,58%,63%,53%,75%,53%,78%,73%,63%,63%,68%,85%,73%,73%,38%,53%,28%,23%,25%,48%,40%,45%,40%,43%,43%,40%,65%,83%,68%,85%,73%,70%,63%,50%,73%,65%,80%,65%,70%,65%,63%,58%,58%,60%,56%,57%,63%,62%,56%,62%,56%,70%,0%
, Reduce Humps,,72,15,27,13,2,15,2,22,8,3,1,0,4,0,1,1,0,0,0,0,0,0,0,1,1,0,1,5,1,5,1,1,8,2,1,1,2,51,21,67,5,0,3,1,0,0,6,0,1,1,1,1,4,2,3,2,3,1,1,0,0,2,5,4,0,0,1,1,1,3,0,0,0,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,0,1,4,2,1,0,2,0,1,14,11,15,16,11,5,9,18,22,15,5,0,2,1
